id,first_name,last_name,age,gender,city,country,ethnicity,income,education_level
1,Pavlov,Arber,93,Male,Olival,Portugal,White,349833.3,Associate's Degree
2,Sylas,Timbs,22,Male,Jönköping,Sweden,Hispanic,501974.28,High School
3,Turner,Mountjoy,67,Non-binary,Mojorembun,Indonesia,Black,34115.79,PhD
4,Rossy,Hildred,93,Male,Albany,United States,Asian,4627.03,High School
5,Mable,Anthony,35,Female,Jinhua,China,Black,90157.92,Master's Degree
6,Yolanda,Pepperill,51,Female,Patrída,Greece,Black,398700.46,Master's Degree
7,Ardra,Branchet,44,Female,Rizal,Philippines,White,446767.53,PhD
8,Benny,Hadingham,74,Male,Baton Rouge,United States,Black,924903.02,Master's Degree
9,Fan,Farfull,28,Female,Boñgalon,Philippines,Black,499935.61,High School
10,Millisent,Beak,30,Female,Magaria,Niger,Asian,113226.09,Bachelor's Degree
11,Temp,Bengall,83,Male,Tyler,United States,Black,291350.18,Associate's Degree
12,Menard,Pedrick,91,Male,Popayán,Colombia,Black,759300.32,Associate's Degree
13,Lemuel,Bilofsky,97,Bigender,Xiaoguwei,China,Black,826951.45,Associate's Degree
14,Anton,Elsmere,51,Male,Gubeikou,China,Asian,427359.85,Associate's Degree
15,Miner,Arnoldi,93,Male,Powassan,Canada,Hispanic,649988.75,Associate's Degree
16,Guss,Rubinowitsch,75,Agender,Jiuchenggong,China,White,25861.51,Master's Degree
17,Vicky,Blodgett,69,Polygender,Szlachta,Poland,White,371282.23,Bachelor's Degree
18,Anderson,Bremley,59,Male,Calimita,Colombia,Black,670513.79,PhD
19,Bernette,Bardill,88,Female,Maubin,Myanmar,Hispanic,176949.33,Associate's Degree
20,Tiphany,Mendoza,45,Polygender,Sukamenak,Indonesia,Black,796604.81,Bachelor's Degree
21,Bea,Buggy,61,Female,Gonghe,China,Asian,971941.41,Bachelor's Degree
22,Dennis,Mc Carrick,90,Male,Tower,Ireland,Asian,145238.69,Master's Degree
23,Archie,Isaacson,68,Male,Batusangkar,Indonesia,White,383224.31,Bachelor's Degree
24,Heidi,Glasser,64,Female,Liaonan,China,Asian,797781.7,High School
25,Nerita,Armatys,83,Female,Meaux,France,Black,477670.2,Bachelor's Degree
26,Markos,Underhill,19,Male,Bagumbayan,Philippines,White,771476.23,PhD
27,Gilbertina,Montrose,29,Female,Gabès,Tunisia,Hispanic,363886.53,Bachelor's Degree
28,Rhetta,MacGillacolm,54,Female,Corona,United States,Black,690591.76,Master's Degree
29,Charyl,Littleover,18,Female,Arteche,Philippines,White,805740.06,Associate's Degree
30,Vina,McRitchie,99,Non-binary,Novi Travnik,Bosnia and Herzegovina,Black,598634.72,Associate's Degree
31,Alex,Le Gall,98,Male,Jepuro,Indonesia,Asian,347596.3,High School
32,Allys,Bodycote,34,Female,Dangchang Chengguanzhen,China,White,164150.87,PhD
33,Stearne,Skeemor,51,Male,Yaojiaji,China,Black,350604.73,Bachelor's Degree
34,Dolph,Bemlott,48,Male,Tolkmicko,Poland,Asian,951846.22,Master's Degree
35,Niven,Piesold,27,Male,Czerniejewo,Poland,White,156749.46,Bachelor's Degree
36,Johny,Falvey,97,Male,Saguing,Philippines,Black,965962.73,High School
37,Alyssa,Fawdrie,91,Genderfluid,Dongdu,China,White,794574.11,PhD
38,Brittni,Crozier,49,Female,Ganjiangtou,China,Black,294210.48,Associate's Degree
39,Steward,Devennie,97,Male,Uvarovo,Russia,Hispanic,845898.44,Bachelor's Degree
40,Karlan,Aizik,83,Male,Trhové Sviny,Czech Republic,Hispanic,991404.35,Associate's Degree
41,Joni,Lemmens,98,Female,Järfälla,Sweden,Asian,72833.4,Associate's Degree
42,Barbette,Aleksahkin,99,Female,Kalanchak,Ukraine,Asian,886356.27,PhD
43,Darelle,Sterman,71,Female,Jiujiang,China,Asian,771556.4,Master's Degree
44,Karel,Kinnear,82,Bigender,Stupino,Russia,Hispanic,285480.99,Master's Degree
45,Kinny,Pennycord,67,Male,Bangbayang,Indonesia,Black,209103.45,Bachelor's Degree
46,Marla,Pizer,54,Female,Wenling,China,White,194477.32,Bachelor's Degree
47,Marla,Thredder,25,Female,Baixo Guandu,Brazil,Hispanic,168243.65,Bachelor's Degree
48,Goraud,Gosnell,56,Male,Hauhena,Indonesia,White,862216.1,Master's Degree
49,Shena,Ells,65,Female,Magallanes,Philippines,Black,124209.25,High School
50,Gareth,Birts,81,Male,Dihtyari,Ukraine,Asian,969635.15,Associate's Degree
